data__locator_id,data__facility_name,data__city,data__state,data__tie_facility,data__artcc_id
07OK,PLEASANT VALLEY ARPT,SNYDER,OKLAHOMA,MLC,ZFW
07PA,DREAM AIR ARPT,ALBION,PENNSYLVANIA,AOO,ZOB
07PN,FOLMAR ARPT,GRASSFLAT,PENNSYLVANIA,AOO,ZNY
07PR,ADVANCED PUBLIC HEALTH OF ISABELA HELIPORT,ISABELA,PUERTO RICO,SJU,ZSU
07R,BISHOP-WINDHAM ARPT,BISHOP,TEXAS,SJT,ZHU
07S,BEAUMONT HOTEL ARPT,BEAUMONT,KANSAS,ICT,ZKC
07TA,SALAIKA AVIATION ARPT,DANBURY,TEXAS,CXO,ZHU
07TE,CUDDIHY FLD ARPT,CORPUS CHRISTI,TEXAS,SJT,ZHU
07TN,CORNTASSEL ARPT,VONORE,TENNESSEE,BNA,ZTL
07TS,CROSS COUNTRY ESTATES MARSHALL FLD ARPT,GEORGETOWN,TEXAS,SJT,ZHU
07TX,PECKS HELIPORT,PRINCETON,TEXAS,FTW,ZFW
07UT,E NORTHROP GRUMMAN ARPT,HOWELL,UTAH,CDC,ZLC
07V,CUCHARA VALLEY AT LA VETA ARPT,LA VETA,COLORADO,DEN,ZDV
07VA,ALPHA HOTEL ARPT,CLOVER,VIRGINIA,DCA,ZDC
07VT,MEADOW ARPT,JERICHO,VERMONT,BTV,ZBW
07WA,MULTICARE DEACONESS HOSPITAL HELIPORT,SPOKANE,WASHINGTON,SEA,ZSE
07WY,STALLIONS ARPT,SHERIDAN,WYOMING,CPR,ZLC
07XA,FRED LUECKE HELIPORT,SMITHVILLE,TEXAS,SJT,ZHU
07XS,ALLEN PONDEROSA HELIPORT,CROWLEY,TEXAS,FTW,ZFW
07Y,HILL CITY/QUADNA MOUNTAIN ARPT,HILL CITY,MINNESOTA,PNM,ZMP
07Z,GEOREF PT.,KAPOA,HAWAII,null,null
08A,WETUMPKA MUNI ARPT,WETUMPKA,ALABAMA,ANB,ZTL
08AK,FISHER ARPT,BIG LAKE,ALASKA,ENA,ZAN
08AL,LITTLE LAGOON SPB,GULF SHORES,ALABAMA,ANB,ZJX
08AL,LITTLE LAGOON BASE OPS,GULF SHORES,ALABAMA,08AL,null
08AR,GARRISON ARPT,ASHDOWN,ARKANSAS,JBR,ZFW
08AZ,MESA POLICE HELIPORT,MESA,ARIZONA,PRC,ZAB
08B,MERRYMEETING FLD ARPT,BOWDOINHAM,MAINE,BGR,ZBW
08C,RIVERVIEW ARPT,JENISON,MICHIGAN,LAN,ZAU
08CA,PG & E PLACERVILLE SVC CNTR HELIPORT,DIAMOND SPRINGS,CALIFORNIA,OAK,ZOA
08CL,KISTLER RANCH ARPT,JAMESTOWN,CALIFORNIA,RIU,ZOA
08CO,TERRA FIRMA ARPT,RUSH,COLORADO,DEN,ZDV
